movie_name,movie_comment
蜘蛛人：無家日,"可以看到三代蜘蛛人
又可以看到奇異博士
期待奇異博士第二部

好看，時間很快就過去了"
蜘蛛人：無家日,👍👍👍👍👍👍👍👍👍👍👍👍👍
蜘蛛人：無家日,我或許不會說這是一部最好看的電影，但絕對是最值得看的一部沒有之一！
蜘蛛人：無家日,非常好看，精采，值得，還想看一次，奇異博士2非常期待。
蜘蛛人：無家日,片尾彩蛋有二段，片尾彩蛋有二段，片尾彩蛋有二段，因為很重要，所以說三遍
蜘蛛人：無家日,沒什麼劇情可言 就是明星大亂鬥 還是冷飯回鍋再炒的炒飯 說真的看的我都尷尬癌發作 買電影票 看這種題材 當爽片看 要科幻沒科幻 要震撼沒震撼 說真的不用到電影院看 看了如果只是想跟週遭人聊時事 那就是花錢買話題而已
蜘蛛人：無家日,不錯的回歸讓我們能看到蜘蛛三蟲奏和經典反派，七歲那年陶比蜘蛛人到現在成年了的霍蘭德真的給我滿滿回憶，就算劇情有些小瑕疵但童年是一部播過就無法回放的電影。
蜘蛛人：無家日,小胖為何不呼叫鋼鐵人回來？（誤）該出現的反派都出現了，大家想要的角色也重逢，只是出場方式有點平淡，張力不夠，不夠戲劇性.....。 還有坐在我座位前面的傢伙，你 太高了吧，擋住了字幕...讓我看的很痛苦！！！
蜘蛛人：無家日,"真的只能給三顆星。
這種逆風評論好像都會被噓爆 🕷️"
蜘蛛人：無家日,原三部曲完美END，滿滿的感動，可惜最後大戰有點凌亂，不然爽度直逼Endgame
蜘蛛人：無家日,TMD......疫情期間看了無數爛片  終於有個劇情打鬥都可以的片了!!!
蜘蛛人：無家日,前半段~睡了2次~後半段~還可以
蜘蛛人：無家日,索尼終於把蜘蛛人拍的超讚的，滿滿的感動
蜘蛛人：無家日,好久沒有看過這麼讚的爽片了，看完後回味無窮，劇情緊湊是一定要的，對白完全沒有廢話，每一個段落都充滿趣味性，該感性的地方感性，該幽默的地方也讓人非常滿足，真的是超級大作，超級大推推推👍
蜘蛛人：無家日,"這部電影賣情懷是重點之一這點加分不少，不過這部作品整體來說是相當大的誠意服務給老粉絲喚起他滿滿的回憶以及感動，可以說是鋪陳20年的局才讓我們都要在聖誕節時候，拆開這個聖誕禮物裡面各種滿滿的驚喜，會是讓大家滿意這份禮物來收藏。
.
我看完以後，很多大部分的劇情我都猜想得到畢竟看完以後還原本可以打我自己的臉，結果完全沒有很多地方都被我自己猜中，在這同時電影跑完我還會在想「結束了？」這種感覺，好是可以說好看，但是三位蜘蛛人設定給我印象就是每個人「都是一模一樣」這樣方式簡單帶過，有點可惜，簡單的敘述我都感覺的到導演不會在這方面冗贅太多，是因為我們太熟悉這些角色又保留之前的個性包涵這次的反派也是。優點就是每個人戲份不會太重都很剛好，不會太過於著重在哪位角色身上並沒有。

目前來說比較不滿意的就是很多時候是為了滿足老粉絲賣情懷，劇情方面就都是劇情的需要才會做這些多重宇宙，像是劇情部分太刻意強調奇異博士咒語導致彼得帕克面臨選擇二擇一，結果到最後變成責任方面是互相推來推去，在某段就是來個轉折，我認為轉折很失敗，每個反派都另有打算不太想要跟蜘蛛人合作，這也導致無法傳達出更多角色情境，有點就是把以前的反派增加新科技再來大肆破壞而已。如果有個角色衝突跟矛盾也是很好這點有點可惜。"
蜘蛛人：無家日,"直接去電影院看就對了

一定會被驚訝到"
蜘蛛人：無家日,"和女友看到睡著⋯給你們參考。
沒有蜘蛛愛的
別看留言就跑去電影院看
實實在在的建議！"
蜘蛛人：無家日,最好什麼評論和預告片都不要看，這樣才會有意外感，不然很多都有預期心理了。
蜘蛛人：無家日,好看 也很感人 看到不小心流下眼淚了
蜘蛛人：無家日,看評價很好，今天去看…真的蠻無聊，失落
蜘蛛人：無家日,蜘蛛人不會讓我失望，最後還有兩個小彩蛋，記得看啊。
蜘蛛人：無家日,這部蜘蛛人絕對是目前為止最好看的漫威電影之一
蜘蛛人：無家日,很久沒看到全場歡呼的電影了！但撇開粉絲服務，但最感動的還是小蜘蛛的成長
蜘蛛人：無家日,個人覺得普通，但是3人一起作戰聊天還不錯，想要看到經典還是可花錢去看。
蜘蛛人：無家日,能力越強，責任越大。看到這句我快哭了，世代的交替和傳承 ⋯
蜘蛛人：無家日,劇情太爛⋯三蜘蛛合體居然有 忍者龜的感受⋯⋯哈😂
蜘蛛人：無家日,"漫威不再是爽片代表作
無家日象徵長大
長大意謂不能自私的什麼都要而不付出
你得到的多失去的也多
長輩們（前代蜘蛛人後悔後給的榜樣
屁孩蜘蛛人長大的過程
家人的教育有多重要
必須說漫威本次不再是爽片
是省思
對所有年齡層的人來說
相信有人在迷惘後看完能釋然勇敢向前
被現實或是傷害荼毒後
仍然做正確對的事
不管你幾歲
懂得放下
結痂是盔甲
疤痕是戰功
象徵長大成為更強的人
能力越大責任越大"
蜘蛛人：無家日,"說實在的整部片前90分鐘有夠拖戲的爛，硬塞一堆不通順的台詞連對話都變得慢半拍，甚至有許多畫面都是在那邊無情相望不說話，但是可以停留許多...
說實在的整體劇情就是很矯情又拖戲，前兩代的蜘蛛人已經是老態龍鍾，然後設計一堆劇情想要讓最後一掛""Sony影業""的蜘蛛人能騙更多的錢...
真的是因為蜘蛛人三部曲不得不看，不然老實說無家日幾乎快算是爛片，一堆特效假到不行...

不過片尾的奇異博士二的劇情看得很爽～
要懂得漫威下個十年要搞的多重宇宙劇情，建議先去看一下洛基 Loki電視劇..."
蜘蛛人：無家日,驚喜連連，多重宇宙大戰要來了!!
蜘蛛人：無家日,經典之作。第一次看電影聽到有歡呼聲！
蜘蛛人：無家日,看哭了！不愧是獻給老粉的情書～～～
蜘蛛人：無家日,"我也是每一集蜘蛛人都有看，不覺得這次的劇情有好看到哪裡去
我還是覺得，以前沒有漫威的蜘蛛人是最精彩的"
蜘蛛人：無家日,可惜只有5顆星  只有漫威能超過漫威  DC加油一點😂
蜘蛛人：無家日,給5星是不想被人認為是刻意來拉低星數，漫威的電影我幾乎都有看，而且大都在電影院觀賞，這部前半部太冗長，一些笑點，以漫威的歷代之作（如蟻人，猛毒等)，這部我覺得不好笑，上一集還比較好笑，整部打鬥場面其實我認為並不精彩緊湊，以最近的永恆族還比他好看，以前其他蜘蛛人電影都有看過，這種大集合式卻未增加其精彩度，以前的風格跟現在漫威蜘蛛人風格其實完全不同，老實說我是因為評論，卻必須承認這一系列我還再觀察久一點
蜘蛛人：無家日,滿滿的雞皮疙瘩，絕對值回票價，可以看兩次以上
蜘蛛人：無家日,"太好看了啦,好看,好看,非常好看,因為非常好看,所以要連說三次,也不用評論了,直接進電影院看就對了,如果有十顆星,我就要給十顆星滿分,最後有二段彩帶喔,一定要看到最後!!!!!"
蜘蛛人：無家日,很久沒寫影評了，這是近期覺得最驚艷最感動的一步好片，一定要去看👍👍👍
蜘蛛人：無家日,"超感動🥲 好看。滿滿感動😭
漫威經典系列作品不會失望"
蜘蛛人：無家日,"我以後會對蜘蛛很好的😢
不會再討厭牠們"
蜘蛛人：無家日,好看，三代同堂的那一刻滿滿的回憶啊！
蜘蛛人：無家日,懂的人自然懂 蜘蛛迷看完只能流淚🕷️🕸🥲
蜘蛛人：無家日,爽度很高，劇情也很好，有達到預期的水準！
蜘蛛人：無家日,"要知道劇中裡的這些要素真的很不容易，從2002年的陶比版蜘蛛人到2012年的加非爾德，每一代都是經典，一直到今天這一部真的得來不易！！ 每個反派角色都讓這部電影更有張力，我們也看到了湯姆飾演的蜘蛛人變的更加成熟，也讓大家瞭解到或許超級英雄［就是這樣的］。
也謝謝漫威和索尼讓我從小看到大"
蜘蛛人：無家日,"好久沒在電影院聽到歡呼聲跟掌聲了,驚奇連連,蜘蛛人鐵粉一定要去看"
蜘蛛人：無家日,太感動了 身為第一代到第三代 滿滿回憶 😭😭😭
蜘蛛人：無家日,從談判破裂第三集難產，TOM向索尼與漫威溝通雙方各退一步，到電影如期上映，這過程不是交差了事，絕對是費盡洪荒之力才有的作品，精采程度絕對超乎所有人的預期，心中排名甚至超越了終局之戰，這部承先啟後，完美落地 無家日NO WAY HOME個人排名MCU TOP1
蜘蛛人：無家日,我看過最好看的電影，也是我唯一進戲院看的漫威電影，滿滿的感動
蜘蛛人：無家日,！！！！！！！！！！！！！！！！！
蜘蛛人：無家日,"最這部真的堪稱蜘蛛人經典作品，整場完全沒有冷場，整個節奏，緊張，感動，驚奇，憤怒樣樣到位
真的不愧是，我只能說，這是我看過MCU裡面最棒的電影😭😭😭"
蜘蛛人：無家日,劇情很瞎，一個不會先設定要的咒語，一個隨便就可以幫別人下咒語，改來改去然後突槌不知道在幹嘛，為了幾個前期反派的死活，犧牲掉其它宇宙的平衡，有夠蠢的編劇。
蜘蛛人：無家日,很棒的系列，滿滿的回憶與感動，相對的也帶來了惆悵與感傷，期待下一個三部曲，絕對是蜘蛛人系列最棒的一集
蜘蛛人：無家日,超讚！第一次在電影院尖叫😆 真的太感動了！角色互動跟劇情的驅動都有關聯 不會給人為了讓三代同堂硬湊劇情的感覺，佩服編劇👍👍
蜘蛛人：無家日,滿分💯，有始以來最棒的蜘蛛人！
蜘蛛人：無家日,好看，劇情緊湊，無冷場，彩蛋前後呼應，勢必友要追一波了
蜘蛛人：無家日,可能因為帶著太大的期待去看，所以其實劇情趨於平淡，原本以為會是復仇者等級的混鬥與戰場級別，結果還真的滿社區型的小打小鬧，一開始的八爪博士還比較打得精采，也沒有互相配合與勢均力敵的感覺，各重要腳色出場的樣式也特別的平淡，本來期待的是終局之戰美國隊長救幻視，雷神救瓦甘達的那種出場，且我對救一個殺人如麻的瘋子，說著要治癒他，實在沒有共鳴，為了一個已經犯很多罪的人，救回來也只是坐牢100年的人，值得犧牲那麼多東西嗎，讓他解脫對她不好嗎? 這主題真的很值得讓他扣一分，太天真了，鋼鐵人的犧牲救回來的蜘蛛，完全沒有展現在他的成長中，這編劇，昌促了點....
蜘蛛人：無家日,我44歲的中年大叔的20年蜘蛛人歲月沒有白費了 😂
蜘蛛人：無家日,三代同堂就是爽啦!今年看過最棒的爽片
蜘蛛人：無家日,"本來不太期待，但看完覺得還不錯😗
但我還是喜歡元老蜘蛛人"
蜘蛛人：無家日,"不算難看,但也不算好看,就普普.大致上中規中矩的商業片.不看不至於遺憾,看了也不會覺得浪費電影票錢.最近沒其他片好選的話,加減看看也無所謂.彩蛋總共兩段.最後那一段基本上就是某某博士的預告片."
蜘蛛人：無家日,奇異博士說的很對，這就是我不想生小孩的原因😂
蜘蛛人：無家日,只能說三代蜘蛛人的最後一集都是有點悲劇收場
蜘蛛人：無家日,我老婆也跟我說她看到睡著！真是沒有網評說的好看啦！
蜘蛛人：無家日,超精彩!! 夜魔俠出現那幕也讓我驚喜，雖然只是客串的小小彩蛋，但有點起雞皮疙瘩！...另外那些會給低星的，大概本身就不是漫威迷或英雄電影掛的，沒興趣就不要那邊跟風進電影院，然後才在嫌難看
蜘蛛人：無家日,"覺得好看.奇異博士很帥特效也很猛
整體覺得很值得阿"
蜘蛛人：無家日,"超讚昨天衝一波
三代同堂的原版人馬回鍋真是太讚了 不過90後的可能不認識一部分人物吧 🤣🤣"
蜘蛛人：無家日,"我真的覺得不好看⋯搞笑的點有些都很硬要的感覺，劇情也很瞎，說真的我一點都沒被感動到，只覺得男主角是自找的，嗯⋯配樂的確很好，有想要帶出那個感動的氛圍，但因為劇情的編排就是太點點點，我只能說我看的過程中有種感覺一堆菜色放在你面前，硬要你吃下去的感覺⋯不太舒服。也許看這類型的片就是要不帶理性思考的方式去看才會覺得好看吧⋯ 
不過對於一直是忠實粉絲的觀眾可能會覺得這部把所有經典人物都聚集在一起很棒吧，有種大團圓的感覺？"
蜘蛛人：無家日,看到流淚，真的超好看。真想再二刷
蜘蛛人：無家日,"給一顆星的評論者
應該沒看過之前經典，亂評論
用那種漫威一定要爽片的角度來看電影"
蜘蛛人：無家日,看完只有此生無憾可以形容…居然整部電影都沒冷場（♡▽♡）
蜘蛛人：無家日,"這種2光電影
1顆星都嫌多
竟還有ㄧ堆人
喜歡在電影院
湊熱鬧 擠在ㄧ起
真是奇觀🤤🤤🤤"
蜘蛛人：無家日,實在太好看!太感動!太精彩!太震撼啦!雖然我還沒有看過啦，但大家都這麼說嘛!是不是?
蜘蛛人：無家日,"看到他們三人相擁，我的淚都飆出來了！
（劃時代的眼淚啊）"
蜘蛛人：無家日,感覺不好看～都是工讀生評論～～～～
蜘蛛人：無家日,真的很好看!!哭了好幾次!!必須再刷!!
蜘蛛人：無家日,真的很好看，全場無冷場，除了1代、2代經典角色的回歸外，陶比和加菲也各自把當初演蜘蛛人時的感覺找了回來。準備來2刷...
蜘蛛人：無家日,"加菲演技真的很行
明明已經過了好幾年

救下MJ那個情緒

好像「關」好像昨天才摔的一樣"
蜘蛛人：無家日,"夭壽好看的拉~
這不付錢進電影院支持真的說不去"
蜘蛛人：無家日,好看的要死喔！今年最讚的電影 感動的哭死🥺滿滿的回憶真的是史上最讚 給101分 只有漫威能超越漫威我愛蜘蛛人
蜘蛛人：無家日,接近完美的三部曲最終集，把人們心中的那蜘蛛人演出在你的眼前 滿分是100 我給101 感謝索尼漫威
蜘蛛人：無家日,第一次幫電影評分！這集太讚了，大家一定要去看！！
蜘蛛人：無家日,"只能用超級好看形容！
媲美終局之戰！！！"
蜘蛛人：無家日,認真覺得好看耶，太強了這部，兩小時半都不嫌長
蜘蛛人：無家日,看漫威電影，我竟然可以看到哭好幾次。
蜘蛛人：無家日,"推推 留一星的怎樣 別亂評 
全場無冷長 記得先上廁所"
蜘蛛人：無家日,好好看，好久沒看過這麼好看的漫威電影了！
蜘蛛人：無家日,蜘蛛人粉絲必看這部電影，一定值回票價。
蜘蛛人：無家日,蜘蛛迷的回憶殺第一代真的有歲月痕跡
蜘蛛人：無家日,"上次給五顆星的電影是“終局之戰”，這一集的蜘蛛人 真的滿滿的回憶梗，二刷確定了！！

很期待猛毒＆奇異博士的續作！"
蜘蛛人：無家日,驚喜連連，值回票價。滿滿的回憶殺，完全不會冷場，還是兩小時半長的電影。
蜘蛛人：無家日,"今天看完，真的很滿足
原本以為前幾部的角色只是露個臉賣個情懷而已
但事實是通過這部讓角色們的形象又得到更圓滿的詮釋"
蜘蛛人：無家日,看的是回憶啊...然後好期待奇異博士2~
蜘蛛人：無家日,"好看，屌打今年漫威其它片。
其次為永恆族，猛毒和尚氣墊底!"
蜘蛛人：無家日,好看，喜歡蜘蛛人，推薦要去看，看完有點感動
蜘蛛人：無家日,讚！！！！！！！！！！！！！！
蜘蛛人：無家日,三部曲最好看的一部，一定要到電影院看
蜘蛛人：無家日,很好看啊，有歡笑、有震撼、有感傷、有期待，不知道後續會怎麼發展，希望小蜘蛛要堅強啊！
蜘蛛人：無家日,滿滿的感動.以往看蜘蛛人的回憶湧上心頭.假如你(妳)這輩子只看一部電影.別懷疑.這部無家日絕對是你(妳)的最佳首選💖💖💖
蜘蛛人：無家日,沒有一部漫威電影讓我這麼感動，感動更勝終局之戰，從電影中間開始，眼眶幾乎都是泛淚的
蜘蛛人：無家日,昨天剛上映就特地衝首映日 ^ ^ 已看完，這一部MCU【蜘蛛人3無家日】絕對是今年最好看的漫威電影作品；除了實現三代蜘蛛人夢幻同台之外，唯一遺憾可惜的地方是艾迪·布洛克(猛毒)沒有遇到小蜘蛛 與 其他邪惡五人組對手☺️
蜘蛛人：無家日,"無家日這次只能用""神作""兩字形容"
蜘蛛人：無家日,好可惜 鋼鐵人最後死掉了～～～～～
蜘蛛人：無家日,"老實說漫威電影實在太多太多但這部是我看過最完美最精彩的一部（絕對二刷）😄😄😄

從頭到尾都非常精采零冷場，友情、愛情、親情、能力的展現 全部都滿滿滿 讚👍👍👍

能力越強 責任越大（班叔、關、梅嬸 名言～）。

歷任蜘蛛人跟反派都重現了 實在是太經典了這部電影（綠蜘蛛依然奸詐狡猾… 八爪博士依然心存善念～）"
蜘蛛人：無家日,"今年最棒的電影 沒有之一
想要看到都看到了"
蜘蛛人：無家日,超級好看⋯⋯尤其看到一代蜘蛛人，讓我回想當時那時候的心情；好棒👍
蜘蛛人：無家日,"電影已經充滿驚喜與感動，沒想到片尾彩蛋又是一大驚喜！看完更期待奇異博士2！想看得更仔細的朋友建議追一下""洛基""以及""汪達與幻視""的電視影集唷！"
蜘蛛人：無家日,"歷史最好看的蜘蛛人
會想三刷的😭😭😭😭😭😭😭"
蜘蛛人：無家日,真的是情感的堆疊到最後的爆發，值得去大螢幕觀賞的一部電影。看到一些充滿回憶的畫面，澎派的的感動充滿心頭，忍不住掉眼淚了，滿滿的回憶滿滿的感動，無法用文字一一描述，蜘蛛迷們~去電影院親身體驗這滿滿的回憶衝擊吧!
蜘蛛人：無家日,20年回憶濃縮成一部精彩的蜘蛛人電影！
蜘蛛人：無家日,二十年的光陰歲月，一封名為蜘蛛人的情書，「因為我們就是這樣的人」
蜘蛛人：無家日,"感動感動還是感動
非常期待下個階段的蜘蛛人！"
蜘蛛人：無家日,太棒了，完美的結局總是有遺憾，每一幕都是感動跟回憶，而且演技真的太好，我在感動跟心痛不斷重複，今年壓軸當之無愧
蜘蛛人：無家日,好看👍新三部曲最喜歡的一集，值得重複看
蜘蛛人：無家日,"好蒿爽爽   滿滿回憶太感動了
大家在電影院一起尖叫"
蜘蛛人：無家日,如果漫威花了10年，才成就了一部終局之戰！那麼無家日，就是花了20年才能拍成的大作！看過所有「漫威電影」的影迷，會喜歡；看過所有「蜘蛛人電影」的影迷，會瘋掉；看過所有「漫威影集」的影迷，絕對不能錯過彩蛋！要說該怎麼一句話定義這部電影？絕對是「史上最好看的超級英雄電影」！不服來辯！！！
蜘蛛人：無家日,好感動最後的5獸合體，一招生命球把紫色外星人終結！！我哭了！！（😌😌😌😌
蜘蛛人：無家日,看來小粉紅要出征了，因為出現自由女神，劇情描述不能簡單一點，一定要搞那麼複雜，而且話也太多了，很無趣
蜘蛛人：無家日,迄今為止最好看的電影，時間真的太少了，真希望可以再演久一點
蜘蛛人：無家日,今年對漫威太失望了，這一部終於恢復水準，很久沒有雞皮疙瘩了😭😭😭
蜘蛛人：無家日,"這一次真的好精彩..好經典..
曼威真的很會拍英雄片..."
蜘蛛人：無家日,看完超級滿足，結束之後又覺得非常空虛，這到底是什麼複雜的情緒啊！這麼棒的電影做三個小時都覺得不夠啊！
蜘蛛人：無家日,如果疫情讓你不敢進電影院.那麼我建議你冒險進電影院看這部.那些不知所云的負評腦袋有洞可以無視
蜘蛛人：無家日,"感謝漫威
這集應該叫（蜘蛛人-集結日）
太感動了，滿滿的回憶"
蜘蛛人：無家日,"我看的是青春的回憶啊～～～好看！大推！！
終局之戰後最棒的英雄大作，快進戲院看！"
蜘蛛人：無家日,"謝謝漫威，謝謝蜘蛛人🕷️ 
Ps. MJ這集變更漂亮了"
蜘蛛人：無家日,"天啊！第一次看爽片看到哭
看不懂第一個彩蛋耶！沒看猛毒2，有人知道嗎？"
蜘蛛人：無家日,完全傻眼的劇情，只是在賣情懷而已，反正這年頭有情懷大家就拍手了，前面兩集劇情的高度只是屎而已？！全程就像是開同學會一樣的無聊，尬聊、冷笑話、毫無目的的反派，只是為了同框而同框，。兩顆星是給奇異博士的，因為這部就是奇異博士2的預告片。
蜘蛛人：無家日,無家日！絕對能滿足眾漫威蜘蛛迷的期待，光是情懷就遠超五星！讚爆！看完片尾畫面已經等不及想看奇異博士2了～
蜘蛛人：無家日,非常好看，處處是驚喜，說不好看的，不知道是怎麼一回事，破梗就不好了
蜘蛛人：無家日,蜘蛛人表現的還不錯整題來講很流暢大家互動也很好笑~{觀眾哈哈大笑}中間跟後面很感人~至於有沒有三代同框大家去電影院看看就知道了^^下一部期待奇異博士的表現了~~~~~
蜘蛛人：無家日,"四顆星給那些老演員聚在一起同框很驚喜
這集偏劇情片 打鬥還是跟前幾集一樣弱了一些 三代同堂很有誠意但是出場有點沒驚喜感跟想像中不太一樣 夜魔俠前面就出現了 梅嬸RIP
彼得有點可憐 沒家人朋友也忘記他了"
蜘蛛人：無家日,看完真的是想要好蒿爽爽！！！！！！！！！！！
蜘蛛人：無家日,我到底看了什麼 為什麼他們覺得把一堆反派放到一部電影會可行
蜘蛛人：無家日,今年終於有部爽片可以看了~頗推去電影院看~不過請注意防疫~少年仔真的很吵~到底在電影院看在那邊喊爽??很想看看你們父母是怎教的?
蜘蛛人：無家日,"看完就覺得滿足了,想像中的畫面都有出現
最終的結尾也很棒"
蜘蛛人：無家日,"彩彈忘了說
這片猛毒Tom Hardy也會串場一下喔"
蜘蛛人：無家日,結局好悶，要是我覺對不會像彼得一樣做最後的選擇。最親近的人死了就算了，連最心愛的女友跟最好的朋友都不知道你是誰。
蜘蛛人：無家日,好看..老中青三代！！！！！！！
蜘蛛人：無家日,不得不講，蜘蛛人好會吐絲，我家沅沅母胎23年的蜘蛛網都還略輸他，傻眼!!!!大推阿
蜘蛛人：無家日,恩最後彩蛋那荷蘭弟那看怎麼接毒那導演有說拍一二三跟那忘記所有版本恩奇異博士那重點是黑化那以這樣子看連到看雷神那或其它什麼?
蜘蛛人：無家日,只能說浪費時間..........
蜘蛛人：無家日,"好精彩好感動！
雖然有些劇情很出框
也是很有趣的亮點
看過所有蜘蛛人電影的人絕對是另一種感動
把蜘蛛人的故事提升到另一層高度
雖然結局有點像是打回原點
有種淡淡的哀愁與悶悶的感受
但是回歸原始找回最單純的初心
蜘蛛人-你友善的好鄰居！
正也是蜘蛛人的故事最打動人的地方

一直在等的角色想說怎麼都沒出場
竟然塞在片尾彩蛋才登場
感覺這部片像是給奇異博士2的電影暖身一樣"
蜘蛛人：無家日,好看，很久沒看到場內歡呼鼓掌的情況了！！！！！！
蜘蛛人：無家日,好看 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
蜘蛛人：無家日,彼得婦人之仁不喜歡，博士咒語設定也很矛盾
蜘蛛人：無家日,六，七年級的看了應該會落淚~~
蜘蛛人：無家日,"說好的湯姆哈迪呢?

還有別被預告唬爛了"
蜘蛛人：無家日,讚讚讚，還沒看，先支持一下，畢竟一圓所有大大小小喜歡任何版本的蜘蛛夢👍
蜘蛛人：無家日,夜魔俠好帥，看到夜魔俠回歸我都快哭了
蜘蛛人：無家日,剛看完，還不錯，真的三代同堂。
大紅狗克里弗,看到流眼淚了，狗狗愛人類，人類要善待狗狗們，要愛護牠們
大紅狗克里弗,今年看過最想睡覺的電影，很溫馨，劇情非常一般
大紅狗克里弗,一隻小狗因為女孩的愛，而變大然後在城市裡發生冒險又有趣的故事， --＋反投票部隊.
大紅狗克里弗,溫馨又有滿滿笑點，適合全家大小一起看。
大紅狗克里弗,很輕鬆、歡樂、放鬆的狗勾電影👍🏻
大紅狗克里弗,"很適合爸媽帶小朋友的娛樂片,劇情輕鬆簡單, 本片要告訴觀眾的主題,即便你跟人家不一樣也並不代表你是錯的，算是輕鬆勵志片"
大紅狗克里弗,"是一部蠻輕鬆的電影
沒有到多精彩
但是讓人保持愉悅的心情！"
大紅狗克里弗,喜歡狗的人要來看大紅狗狗喔 值回票價
寶可夢：皮卡丘與可可的冒險,描述不同種族從對立到接受彼此的故事，最讓我感動的還是父親對孩子的愛，值得一看的影片
寶可夢：皮卡丘與可可的冒險,會很多人嗎？怕大老遠跑去換票，結果客滿！
寶可夢：皮卡丘與可可的冒險,在這個疫情的時代，如何學會珍惜身邊的家人，是這部電影想傳達的，本作是歷代寶可夢電影少數描寫親子的題材，值得家長與孩子一同觀看
寶可夢：皮卡丘與可可的冒險,描寫親子之間如何互動，另人感動的一部寶可夢電影
麥迪遜之橋,"其實劇情上來說“麥迪遜之橋”真的沒太特別，但在一連串疊加上去的情感依然能使人落淚，配樂、演技、主角們一起共度的時光等等，而我就是眼淚不爭氣的流了下來的人。
角色之間的許多對白都十分有趣，像是兩人初相遇一起第一次乘坐卡車時談論的愛荷華的話題、後來羅伯坦白身為知名雜誌攝影師卻無法大顯身手只能拍些所謂「客觀」的照片等等，很多對白都值得留意。

畫面流露出溫柔氣息，角色的神情、色調是如此的溫暖，角色間的磨合、向著未來再次出發，即便有遺憾也能感謝曾經擁有過的那份溫柔，不管是羅伯與法蘭斯卡還是姐弟倆，大家都在累積，都在學習的路上，那都將成為自己的養分，發覺「愛」能延伸、能包容並釋懷是很厲害的事，悲傷的過去無須忘記，而是銘記，無須祈求重來，但願你我都能邁進。

演技無可挑剔，梅姨太厲害了，千變萬化，角色年齡變化從中年到老年，當時的梅姨已能一手掌握，伊斯威特的演技也是一流，看著兩星期前的“殺無赦”與這次“麥迪遜之橋”的角色感受到他的戲路相當寬廣，能導能演好帥~"
法蘭西特派週報,"非常用心的「布置」每一顆鏡頭，故事節奏雖然明快，卻又富含很多巧思在內。
很喜歡這樣的電影風格和呈現手法，覺得會是喜歡跳脫感較重，且對於看似無聊故事背後的挖掘與著墨有好奇心的觀眾。
推薦到電影院花時間收藏這部奇特的作品。"
